Article,Date,Link
Poll: Kenyans laud free learning,3 days ago,https://www.standardmedia.co.ke/article/2001242022/poll-kenyans-laud-free-learning
Matiang’i: We must do more to reform our education system,3 days ago,https://www.standardmedia.co.ke/article/2001242015/matiang-i-we-must-do-more-to-reform-our-education-system
Overhaul the hiring of VCs to reform public universities,3 days ago,https://www.standardmedia.co.ke/article/2001242018/overhaul-the-hiring-of-vcs-to-reform-public-universities
President who? Team wants fancy titles gone,4 days ago,https://www.standardmedia.co.ke/article/2001241887/president-who-team-wants-fancy-titles-gone
"Kenyans feel there are inadequate teachers in public schools, survey shows",4 days ago,https://www.standardmedia.co.ke/article/2001241881/kenyans-feel-there-are-inadequate-teachers-in-public-schools-survey-shows
How parents cover up for their children mess in schools,4 days ago,https://www.standardmedia.co.ke/article/2001241884/how-parents-cover-up-for-their-children-mess-in-schools
How safe is your child in school?,4 days ago,https://www.standardmedia.co.ke/article/2001241913/how-safe-is-your-child-in-school
Report details pain of school children in Korogocho slums,5 days ago,https://www.standardmedia.co.ke/article/2001241793/report-details-pain-of-school-children-in-korogocho-slums
Parents: Transfer school principals only after three years,1 week ago,https://www.standardmedia.co.ke/article/2001241557/parents-transfer-school-principals-only-after-three-years
TSC’s dilemma in implementing teachers’ Sh54 billion pay rise,3 weeks ago,https://www.standardmedia.co.ke//2001239501/tsc-s-dilemma-in-implementing-teachers-sh54-billion-pay-rise#disqus_thread
Audit lays bare extent of land grabbing in schools,3 weeks ago,https://www.standardmedia.co.ke//2001239510/audit-lays-bare-extent-of-land-grabbing-in-schools#disqus_thread
Class 8 dropouts’ lifeline in pursuit of degrees,3 weeks ago,https://www.standardmedia.co.ke//2001239509/class-8-dropouts-lifeline-in-pursuit-of-degrees#disqus_thread
How nursery school teacher was hired to develop new curriculum,3 weeks ago,https://www.standardmedia.co.ke//2001239505/how-nursery-school-teacher-was-hired-to-develop-new-curriculum#disqus_thread
Unveiling of new CUE board called off,3 weeks ago,https://www.standardmedia.co.ke//2001239519/unveiling-of-new-cue-board-called-off#disqus_thread
"Keep off universities, professionals told",3 weeks ago,https://www.standardmedia.co.ke//2001239320/keep-off-universities-professionals-told#disqus_thread
TSC transfers six more secondary school heads in Murang’a,4 weeks ago,https://www.standardmedia.co.ke//2001238948/tsc-transfers-six-more-secondary-school-heads-in-murang-a#disqus_thread
Teachers reject TSC pay offer ,1 month ago,https://www.standardmedia.co.ke//2001238759/teachers-reject-tsc-pay-offer#disqus_thread
Teachers’ unions to meet TSC over salary boom,1 month ago,https://www.standardmedia.co.ke//2001238620/teachers-unions-to-meet-tsc-over-salary-boom#disqus_thread
TSC transfers high school principals,1 month ago,https://www.standardmedia.co.ke//2001238622/tsc-transfers-high-school-principals#disqus_thread
"Varsity students going through hell, commission says",1 month ago,https://www.standardmedia.co.ke//2001238539/varsity-students-going-through-hell-commission-says#disqus_thread
"Matiang’i, varsity devastate parents with secret weapon",1 month ago,https://www.standardmedia.co.ke//2001238546/matiang-i-varsity-devastate-parents-with-secret-weapon#disqus_thread
 State releases Sh9 billion as schools open for new term,1 month ago,https://www.standardmedia.co.ke//2001238191/state-releases-sh9-billion-as-schools-open-for-new-term#disqus_thread
CS Matiang'i: School property destroyed in poll violence,1 month ago,https://www.standardmedia.co.ke//2001238188/cs-matiang-i-school-property-destroyed-in-poll-violence#disqus_thread
" Sh6b needed for new Form One classes, says Matiang’i",1 month ago,https://www.standardmedia.co.ke//2001237991/sh6b-needed-for-new-form-one-classes-says-matiang-i#disqus_thread
Thabo Mbeki pays tribute to Mau Mau freedom fighters,1 month ago,https://www.standardmedia.co.ke//2001237992/thabo-mbeki-pays-tribute-to-mau-mau-freedom-fighters#disqus_thread
 Curriculum shift calls for further investment in quality of teaching,1 month ago,https://www.standardmedia.co.ke//2001238007/curriculum-shift-calls-for-further-investment-in-quality-of-teaching#disqus_thread
KCSE giants get varsity slots as questions on placement persist,1 month ago,https://www.standardmedia.co.ke//2001238016/kcse-giants-get-varsity-slots-as-questions-on-placement-persist#disqus_thread
Uninspiring intellectuals and the big gap crying to be filled,1 month ago,https://www.standardmedia.co.ke//2001238012/uninspiring-intellectuals-and-the-big-gap-crying-to-be-filled#disqus_thread
Centre trains teachers in science and mathematics,1 month ago,https://www.standardmedia.co.ke//2001238004/centre-trains-teachers-in-science-and-mathematics#disqus_thread
Government admits record number of students as parallel programs killed,1 month ago,https://www.standardmedia.co.ke//2001237794/government-admits-record-number-of-students-as-parallel-programs-killed#disqus_thread
Center on a drive to improve science and mathematics teaching in Kenya,1 month ago,https://www.standardmedia.co.ke//2001237854/center-on-a-drive-to-improve-science-and-mathematics-teaching-in-kenya#disqus_thread
CS Fred Matiang’i warns school heads on funds misuse,1 month ago,https://www.standardmedia.co.ke//2001237700/cs-fred-matiang-i-warns-school-heads-on-funds-misuse#disqus_thread
"New education system will not be expensive, Matiang’i assures",1 month ago,https://www.standardmedia.co.ke//2001237456/new-education-system-will-not-be-expensive-matiang-i-assures#disqus_thread
Why University Senates failed to stop the decay in institutions of higher learning,1 month ago,https://www.standardmedia.co.ke//2001237232/why-university-senates-failed-to-stop-the-decay-in-institutions-of-higher-learning#disqus_thread
Heads trained on new education curriculum marking end of 8-4-4,1 month ago,https://www.standardmedia.co.ke//2001237067/heads-trained-on-new-education-curriculum-marking-end-of-8-4-4#disqus_thread
KNUT accuses TSC of betrayal in a deal to withdraw all court cases between them,1 month ago,https://www.standardmedia.co.ke//2001237085/knut-accuses-tsc-of-betrayal-in-a-deal-to-withdraw-all-court-cases-between-them#disqus_thread
"Girls fear examinations more than boys, study says",1 month ago,https://www.standardmedia.co.ke//2001237059/girls-fear-examinations-more-than-boys-study-says#disqus_thread
State mulls teaching all pupils sign language,1 month ago,https://www.standardmedia.co.ke//2001236867/state-mulls-teaching-all-pupils-sign-language#disqus_thread
Parents anxious as 11 million school children come home for holidays,1 month ago,https://www.standardmedia.co.ke//2001236696/parents-anxious-as-11-million-school-children-come-home-for-holidays#disqus_thread
New education curriculum to take effect in May,1 month ago,https://www.standardmedia.co.ke//2001236574/new-education-curriculum-to-take-effect-in-may#disqus_thread
What Kenyan parents want their young children taught,1 month ago,https://www.standardmedia.co.ke//2001236575/what-kenyan-parents-want-their-young-children-taught#disqus_thread
Regulators a threat to universities’ autonomy,1 month ago,https://www.standardmedia.co.ke//2001236373/regulators-a-threat-to-universities-autonomy#disqus_thread
"Exam cheating, integrity take over drama fete",1 month ago,https://www.standardmedia.co.ke//2001236367/exam-cheating-integrity-take-over-drama-fete#disqus_thread
"Chilling details of sodomy, torture at Maseno School",1 month ago,https://www.standardmedia.co.ke//2001236352/chilling-details-of-sodomy-torture-at-maseno-school#disqus_thread
Colleges move to take charge of their safety,1 month ago,https://www.standardmedia.co.ke//2001236259/colleges-move-to-take-charge-of-their-safety#disqus_thread
The painful reality about drug abuse in Kenyan universities,1 month ago,https://www.standardmedia.co.ke//2001236196/the-painful-reality-about-drug-abuse-in-kenyan-universities#disqus_thread
Matiang'i appoints CUE Commissioners,1 month ago,https://www.standardmedia.co.ke//2001236230/matiang-i-appoints-cue-commissioners#disqus_thread
"Foreign degrees must match local standards, Matiang'i warns",1 month ago,https://www.standardmedia.co.ke//2001235858/foreign-degrees-must-match-local-standards-matiang-i-warns#disqus_thread
JKUAT and KU campuses in Kigali face closure,1 month ago,https://www.standardmedia.co.ke//2001235860/jkuat-and-ku-campuses-in-kigali-face-closure#disqus_thread
Maseno School board quits ,1 month ago,https://www.standardmedia.co.ke//2001235930/maseno-school-board-quits#disqus_thread
Agriculture gradudates told to create their own jobs,1 month ago,https://www.standardmedia.co.ke//2001235727/agriculture-gradudates-told-to-create-their-own-jobs#disqus_thread
